# id	type	description	condition(if)	update(then)	alternative(else)	reference	active
1	PKA	glucose sensing via Gpr1	exGlc.present && Gpr1.present	Gpr1.active = true	Gpr1.active = false	"Kraakman et al. 1999; Colombo et al. 1998"	1
2	PKA	glucose sensing via Gpr1 induces activation of Gpa2	Gpr1.active && Gpa2.present	Gpa2.active = true	Gpa2.active = false	"Kraakman et al. 1999; Colombo et al. 1998"	1
3	PKA	active Gpa2 inhibits Krh1/2 activity	(Gpa2.active && Krh1_2.present) || !Krh1_2.present	Krh1_2.active = false	Krh1_2.active = true	Peeters et al. 2006	1
4	PKA	F16BP is present when glucose is present	exGlc.present	F16BP.present = true	F16BP.present = false	Peeters et al. 2017	1
5	PKA	Cdc25 is activated by F16BP	F16BP.present && Cdc25.present	Cdc25.active = true	Cdc25.active = false	Peeters et al. 2017	1
6	PKA	Ira1/2 is active under glucose depletion	!exGlc.present && Ira1_2.present	Ira1_2.active = true	Ira1_2.active = false	Bond et al. 2008	1
7	PKA	active Cdc25 stimulates guanine nucleotide exchange in Ras1/2 from GDP to GTP	Ras1_2.present && Cdc25.active && !Ira1_2.active	Ras1_2.active = true	nothing	"Jones, Vignais, and Broach 1991; Robinson et al. 1987; Broek et al. 1987;  Kazuma Tanaka et al. 1990; K Tanaka, Matsumoto, and Toh-E 1989; Conrad et al. 2014"	1
8	PKA	Ira1/2 stimulates guanine nucleotide exchange in Ras1/2 from GTP to GDP	(Ras1_2.active && !Cdc25.active && Ira1_2.active) || !Ras1_2.present	Ras1_2.active = false	nothing	Conrad et al. 2014	1
9	PKA	AC is activated when Ras1/2 is activated, or Ras1/2 and Gpa2 is active	Ras1_2.active && AC.present && (Gpa2.active || !Gpa2.active)	AC.active = true	nothing	"Kataoka, Broek, and Wigler 1985; Takashi Toda et al. 1985; Rolland et al. 2000"	1
10	PKA	cAMP is present when ATP is present and AC activated	ATP.present && AC.active	cAMP.present = true	nothing	"Sass et al. 1986; Nikawa, Sass, and Wigler 1987; Ma et al. 1999; Hu et al. 2010"	1
11	PKA	cAMP is not present when AC is not activated and Pde1/2 is phosphorylated	!AC.active && Pde1_2.present && Pde1_2.phosphorylated	cAMP.present = false	nothing	"Sass et al. 1986; Nikawa, Sass, and Wigler 1987; Ma et al. 1999; Hu et al. 2010"	1
12	PKA	PKA is present when one of Tpk1/2/3 is present	Tpk1.present || Tpk2.present || Tpk3.present	PKA.present = true	PKA.present = false	"Takashi Toda et al. 1987; Matsumoto et al. 1982"	1
13	PKA	PKA is active when cAMP is there and Krh1/2 is inactive	(PKA.present && cAMP.present && !Krh1_2.active && Bcy1.present) || !Bcy1.present	PKA.active = true	nothing	"T. Peeters et al. 2006; Takashi Toda et al. 1987"	1
14	PKA	PKA is inactive if Krh1/2 is active or no cAMP is there	(PKA.present && (!cAMP.present || Krh1_2.active) && Bcy1.present) || !PKA.present	PKA.active = false	nothing	"T. Peeters et al. 2006; Takashi Toda et al. 1987"	1
15	PKA	Pde1_2 is activated through PKA mediated phosphorylation	PKA.active && Pde1_2.present	Pde1_2.phosphorylated = true	Pde1_2.phosphorylated = false	Hu et al. 2010	1
