# name	type	formulation	comment	MW	k_cat
oxygen transport	reaction	O2 [cytosol] => O2 [mitochondria]			
oxygen transport (reversible)	reaction	O2 [mitochondria] => O2 [cytosol]			
superoxide production (mitochondria)	reaction	O2 [mitochondria] => superoxide [mitochondria]	single electron is not included in the model but is implied in the reaction		
pseudo superoxide leakage minimum	pseudo component	- superoxide production + 0.002 * (0.7 * NADH:ubiquinone oxidoreductase (No1) + 0.3 * ubiquinol:ferricytochrome c reductase (No1) ) + pseudo superoxide leakage minimum = 0	flux through superoxide production is at least 0.2% of flux through complex 1 (mostly) and complex 3Ê		
pseudo superoxide leakage maximum	pseudo component	superoxide production - 0.02 * (0.7 * NADH:ubiquinone oxidoreductase (No1) + 0.3 * ubiquinol:ferricytochrome c reductase (No1) )Ê + pseudo superoxide leakage maximum = 0	flux through superoxide production is at most 2% of flux through complex 1 (mostly) and complex 3Ê		
superoxide oxidoreductase (arm, mitochondria)	arm reactionÊ	2 superoxide [mitochondria] + 2 h+ [mitochondria] => pmet_superoxide [mitochondria]			
superoxide oxidoreductase (SOD1, mitochondria)	reaction	pmet_superoxide [mitochondria] + 2.7778e-9 prot_P00445 => H2O2 [mitochondria] + O2 [mitochondria]			3.6e8
draw_prot_P00445	pseudo reaction	15.8544 prot_pool => prot_P00445		15.8544	
superoxide oxidoreductase (SOD2, mitochondria)	reaction	pmet_superoxide [mitochondria] + 2.7778e-9 prot_P00447 => H2O2 [mitochondria] + O2 [mitochondria]			3.6e8
draw_prot_P00447	pseudo reaction	25.7738 prot_poolÊ => prot_P00447		25.7738	
hydroxyl production via peroxynitrite (mitochondria)	reaction	superoxide [mitochondria] + h+ [mitochondria] => hydroxyl radical [mitochondria]	netto reaction via peroxynitrite, nitric oxide radical and nitrogen dioxide radical (not included)		
glutathione peroxidase (GPX3, mitochondria)	reaction	2 glutathione [mitochondria] + H2O2 [mitochondria] + 2.9026e-7 prot_P40581 => 2 H2O [mitochondria] + glutathione disulfide [mitochondria]			3.4452e6
glutathione reductase (GLR1, mitochondria)	reaction	glutathione disulfide [mitochondria] + h+ [mitochondria] + NADPH [mitochondria] + 3.0864e-7 prot_P41921 => 2 glutathione [mitochondria] + nadp+ [mitochondria]			3.24e6
thioredoxin peroxidase (TRX3, mitochondria)	reaction	thioredoxin [mitochondria] + H2O2 [mitochondria] + 2.9026e-7 prot_P25372 => 2 H2O [mitochondria] + thioredoxin disulfide [mitochondria]			3.4452e6
thioredoxin reductase (TRR2, mitochondria)	reaction	thioredoxin disulfide [mitochondria] + h+ [mitochondria] + NADPH [mitochondria] + 8.3417e-6 prot_P38816 => thioredoxin [mitochondria] + nadp+ [mitochondria]			1.1988e5
draw_prot_P40581	pseudo reaction	18.6412 prot_pool => prot_P40581		18.6412	
draw_prot_P41921	pseudo reaction	53.4402 prot_pool => prot_P41921		53.4402	
draw_prot_P25372	pseudo reaction	14.4320 prot_pool => prot_P25372		14.4320	
draw_prot_P38816	pseudo reaction	37.0870 prot_pool => prot_P38816		37.0870	
hydrogen peroxide catalase (CTA1, mitochondria)	reaction	H2O2 [mitochondria] + 3.2680e-10 prot_P15202 => 2 H2O [mitochondria] + O2 [mitochondria]			3.0600e9
draw_prot_P15202	pseudo reaction	58.5548 prot_pool => prot_P15202		58.5548	
Fenton (mitochondria)	reaction	iron(3+) [mitochondria] + superoxide [mitochondria] => iron(2+) [mitochondria] + O2 [mitochondria]			
Haber Weiss (mitochondria)	reaction	iron(2+) [mitochondria]Ê + H2O2 [mitochondria] => iron(3+) [mitochondria]Ê + hydroxyl radical [mitochondria]			
protein damage production (mitochondria)	reaction	hydroxyl radical [mitochondria] => protein damage [mitochondria]			
protein damage exchange (mitochondria)	exchange reaction	protein damage [mitochondria] =>			
proton transport	reaction	h+ [cytosol] => h+ [mitochondria]			
proton transport (reversible)	reaction	h+ [mitochondria] => h+ [cytosol]			
hydrogen peroxide transport	reaction	H2O2 [cytosol] => H2O2 [mitochondria]			
hydrogen peroxide transport (reversible)	reaction	H2O2 [mitochondria] => H2O2 [cytosol]			
superoxide production (cytosol)	reaction	O2 [cytosol] => superoxide [cytosol]	needed to allow at least some flux through the cytosolic Fenton-Haber-Weiss reactions, single electron is not included in the model but is implied in the reaction		
superoxide oxidoreductase (SOD1, cytosol)	reaction	2 superoxide [cytosol] + 2 h+ [cytosol] + 2.7778e-9 prot_P00445 => H2O2 [cytosol] + O2 [cytosol]			3.6e8
hydroxyl production via peroxynitrite (cytosol)	reaction	superoxide [cytosol] + h+ [cytosol] => hydroxyl radical [cytosol]	netto reaction via peroxynitrite, nitric oxide radical and nitrogen dioxide radical (not included)		
glutathione peroxidase (arm, cytosol)	arm reactionÊ	2 glutathione [cytosol] + H2O2 [cytosol] => pmet_glutathione [cytosol]			
glutathione peroxidase (GPX1, cytosol)	reaction	pmet_glutathione [cytosol] + 2.9026e-7 prot_P36014 => 2 H2O [cytosol] + glutathione disulfide [cytosol]			3.4452e6
glutathione peroxidase (GPX2, cytosol)	reaction	pmet_glutathione [cytosol] + 2.9026e-7 prot_P38143 => 2 H2O [cytosol] + glutathione disulfide [cytosol]			3.4452e6
glutathione reductase (GLR1, cytosol)	reaction	glutathione disulfide [cytosol] + h+ [cytosol] + NADPH [cytosol] + 3.0864e-7 prot_P41921 => 2 glutathione [cytosol] + nadp+ [cytosol]			3.24e6
thioredoxin peroxidase (arm, cytosol)	arm reactionÊ	thioredoxin [cytosol] + H2O2 [cytosol] => pmet_thioredoxin [cytosol]			
thioredoxin peroxidase (TRX1, cytosol)	reaction	pmet_thioredoxin [cytosol] + 2.9026e-7 prot_P22217 => 2 H2O [cytosol] + thioredoxin disulfide [cytosol]			3.4452e6
thioredoxin peroxidase (TRX2, cytosol)	reaction	pmet_thioredoxin [cytosol] + 2.9026e-7 prot_P22803 => 2 H2O [cytosol] + thioredoxin disulfide [cytosol]			3.4452e6
thioredoxin reductase (TRR1, cytosol)	reaction	thioredoxin disulfide [cytosol] + h+ [cytosol] + NADPH [cytosol] + 8.3417e-6 prot_P29509 => thioredoxin [cytosol] + nadp+ [cytosol]			1.1988e5
draw_prot_P36014	pseudo reaction	19.4842 prot_pool => prot_P36014		19.4842	
draw_prot_P38143	pseudo reaction	18.4058 prot_pool => prot_P38143		18.4058	
draw_prot_P22217	pseudo reaction	11.2348 prot_pool => prot_P22217		11.2348	
draw_prot_P22803	pseudo reaction	11.2038 prot_pool => prot_P22803		11.2038	
draw_prot_P29509	pseudo reaction	34.2377 prot_pool => prot_P29509		34.2377	
hydrogen peroxide catalase (CTT1, cytosol)	reaction	H2O2 [cytosol] + 3.2680e-10 prot_P06115 => 2 H2O [cytosol] + O2 [cytosol]			3.0600e9
draw_prot_P06115	pseudo reaction	64.5825 prot_pool => prot_P06115		64.5825	
Fenton (cytosol)	reaction	iron(3+) [cytosol] + superoxide [cytosol] => iron(2+) [cytosol] + O2 [cytosol]			
Haber Weiss (cytosol)	reaction	iron(2+) [cytosol]Ê + H2O2 [cytosol] => iron(3+) [cytosol]Ê + hydroxyl radical [cytosol]			
protein damage production (cytosol)	reaction	hydroxyl radical [cytosol] => protein damage [cytosol]			
protein damage exchange (cytosol)	exchange reaction	protein damage [cytosol] =>Ê			
proton production (cytosol)	reaction	 => h+ [cytosol]	needed to ensure that all new reactions can work properly		
NGAM	reaction	ATP [cytosol] + H2O [cytosol] => ADP [cytosol] + h+ [cytosol] + phosphate [cytosol]			
