# SIGNALLING PROTEIN DELETIONS
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
knockout	rls	average generation time	rls phase 1	rls phase 2	rls phase 3	damage formation	damage repair	status
wildtype	23	1.595454545454556	16.0	6.0	1.0	0.0001	0.0	dead (regular)
wildtype	23	1.595454545454556	16.0	6.0	1.0	0.0001	0.001	dead (regular)
wildtype	23	1.6000000000000105	16.0	6.0	1.0	0.0001	0.002	dead (regular)
wildtype	23	1.6000000000000105	16.0	6.0	1.0	0.0001	0.003	dead (regular)
wildtype	23	1.6000000000000105	16.0	6.0	1.0	0.0001	0.004	dead (regular)
wildtype	23	1.6590909090909205	15.0	6.0	2.0	0.000125	0.004	dead (regular)
wildtype	23	1.6454545454545566	15.0	6.0	2.0	0.000125	0.005	dead (regular)
wildtype	23	1.640909090909102	15.0	6.0	2.0	0.000125	0.006	dead (regular)
wildtype	23	1.627272727272738	15.0	6.0	2.0	0.000125	0.007	dead (regular)
wildtype	23	1.6136363636363742	15.0	6.0	2.0	0.000125	0.008	dead (regular)
wildtype	23	1.6772727272727388	15.0	6.0	2.0	0.00015	0.008	dead (regular)
wildtype	23	1.6090909090909198	16.0	6.0	1.0	0.000125	0.009	dead (regular)
wildtype	23	1.6545454545454659	15.0	6.0	2.0	0.00015	0.009	dead (regular)
wildtype	23	1.5863636363636466	16.0	6.0	1.0	0.000125	0.01	dead (regular)
wildtype	23	1.7090909090909212	15.0	6.0	2.0	0.00015	0.012	dead (regular)
wildtype	23	1.595454545454556	16.0	6.0	1.0	0.000125	0.013	dead (regular)
wildtype	23	1.640909090909102	15.0	6.0	2.0	0.00015	0.013	dead (regular)
wildtype	23	1.6318181818181927	15.0	6.0	2.0	0.00015	0.014	dead (regular)
wildtype	23	1.6227272727272835	15.0	6.0	2.0	0.00015	0.015	dead (regular)
wildtype	23	1.6681818181818295	15.0	6.0	2.0	0.000175	0.015	dead (regular)
wildtype	23	1.6090909090909198	15.0	7.0	1.0	0.00015	0.016	dead (regular)
