# NGAM GRID
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective maxGrowth
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
NGAM	phase	time	divisions	damage	glucose uptake (end)	norm. ethanol production (end)	norm. O2 uptake (end)	norm. CO2 production (end)	norm. acetate production (end)	damage formation	damage repair	status
0.0	phase 1	26.400000000000105	18.0	0.03304337624942688	8.85445683114327	1.4567728864720408	0.2933383806984737	1.7725914955260413	0.027899284264209206	0.0001	0.0	dead (regular)
0.0	phase 2	25.800000000000097	10.0	0.45921218528754976	1.9080187886741657	1.3522210994439832	0.39784580902706873	1.7786075348654553	0.11948683837448391	0.0001	0.0	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.0	dead (regular)
0.0	phase 1	28.000000000000128	19.0	0.04206745671534612	8.763145120812792	1.4571987321511353	0.29295314048497667	1.7726517829097892	0.02777024995841439	0.0001	0.001	alive
0.0	phase 2	72.00000000000018	9.0	0.41781690541634553	0.8179747555627659	1.4267041095410011	0.3624994077589957	1.8173375892564103	0.14546775080839788	0.0001	0.001	alive
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.001	alive
0.0	phase 1	28.000000000000128	19.0	0.04111304114705126	8.772757791087496	1.4571534881102046	0.29299407057113774	1.7726453776729796	0.02778395790978582	0.0001	0.002	alive
0.0	phase 2	72.00000000000018	9.0	0.3801864879974213	1.4141869492857575	1.3331948439612897	0.41361567205388067	1.7788762925200916	0.14714063977294958	0.0001	0.002	alive
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.002	alive
0.0	phase 1	27.900000000000126	19.0	0.040187848164844116	8.78207679101439	1.4571097214080297	0.2930336642090779	1.7726391815851823	0.027797218051188503	0.0001	0.003	dead (regular)
0.0	phase 2	64.6000000000006	10.0	0.45986825806019804	1.8968443517606681	1.351845953383235	0.39813852853856563	1.778586539184207	0.11995247209572289	0.0001	0.003	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.003	dead (regular)
0.0	phase 1	27.900000000000126	19.0	0.039282012535066274	8.791201763064413	1.4570669555878624	0.2930723523828812	1.7726331271925957	0.027810175056107903	0.0001	0.004	dead (regular)
0.0	phase 2	42.70000000000034	10.0	0.4598495118920408	1.8964748454343479	1.3518344854295157	0.398147139504465	1.778585728773363	0.11996721080032294	0.0001	0.004	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.004	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.037914401754816224	8.805053995749173	1.4570022040193185	0.29313093000195584	1.7726239602593945	0.0278297932113895	0.000125	0.004	dead (regular)
0.0	phase 2	34.30000000000022	10.0	0.4598920440591884	1.895878386070156	1.3518142188169588	0.39816303807630987	1.778584657998415	0.11999237083235721	0.000125	0.004	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.004	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.03711482524575805	8.813106917659066	1.4569646545910082	0.2931648991570672	1.7726186443557272	0.02784116978151988	0.000125	0.005	dead (regular)
0.0	phase 2	26.500000000000107	10.0	0.45231920408426596	2.0024097862887382	1.3553471284717666	0.395420072100788	1.778813159907368	0.11573628669832027	0.000125	0.005	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.005	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.03633308300965687	8.82098094326927	1.456928005432105	0.29319805387251907	1.7726134559036206	0.027852273660666074	0.000125	0.006	dead (regular)
0.0	phase 2	59.70000000000058	11.0	0.45978447258325994	1.8961300186880874	1.3518249187024705	0.3981538808254074	1.7785848190211546	0.11998008856584745	0.000125	0.006	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.006	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.03556509611606372	8.828717044027451	1.4568920592367531	0.2932305725169729	1.7726083669663761	0.0278631655430383	0.000125	0.007	dead (regular)
0.0	phase 2	48.10000000000041	11.0	0.4598881595507707	1.8940293519286133	1.3517546208353914	0.3982086454477351	1.7785809152039482	0.12006793746477167	0.000125	0.007	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.007	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.0348178187087515	8.836244343865067	1.4568571367232583	0.29326216474091116	1.7726034229415788	0.027873749811600824	0.000125	0.008	dead (regular)
0.0	phase 2	39.50000000000029	11.0	0.4596999345587728	1.8960562859471692	1.351824563517317	0.3981533944871937	1.7785843948276736	0.11998153193404273	0.000125	0.008	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.008	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.0417606647163395	8.76598080627127	1.4571853752100663	0.2929652238669657	1.7726498919566316	0.02777429677275005	0.00015	0.008	dead (regular)
0.0	phase 2	29.300000000000146	10.0	0.45997672276709356	1.8921469972951974	1.351691669797342	0.39825766945904756	1.77857742883521	0.12014674433566037	0.00015	0.008	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.008	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.034087174131026146	8.843604793116253	1.4568230457924756	0.29329300468380004	1.7725985966450362	0.027884082044818362	0.000125	0.009	dead (regular)
0.0	phase 2	32.700000000000195	11.0	0.4599804278992589	1.891454919113977	1.3516692083485995	0.39827491508380897	1.7785760594075697	0.12017521815553009	0.000125	0.009	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.009	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.040880818675853824	8.77484565651523	1.457143674300759	0.29300294865096227	1.7726439883238407	0.027786931255735087	0.00015	0.009	dead (regular)
0.0	phase 2	53.00000000000048	11.0	0.4596688385210029	1.8958662619863775	1.3518191784982032	0.3981572379397973	1.77858390875715	0.11998871830887868	0.00015	0.009	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.009	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.033372780556380904	8.850802206613459	1.4567897648145365	0.2933231119127376	1.7725938850145273	0.02789416879882846	0.000125	0.01	dead (regular)
0.0	phase 2	53.60000000000049	12.0	0.45959154984369877	1.8963200927530324	1.3518356752990637	0.39814391367416846	1.7785845771386963	0.11996873906582461	0.000125	0.01	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.01	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.03835036000705312	8.80034640242124	1.45702418656698	0.2931110434522178	1.7726270723468853	0.027823133030767316	0.00015	0.012	dead (regular)
0.0	phase 2	34.50000000000022	11.0	0.45948085154586743	1.896621770923661	1.3518480671519908	0.39813343206823726	1.778584829754942	0.11995435702576523	0.00015	0.012	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.012	dead (regular)
0.0	phase 1	28.000000000000128	19.0	0.03999258656814574	8.783661658061758	1.4571022872678185	0.29304038951698175	1.7726381291277833	0.02779947041512628	0.000125	0.013	dead (regular)
0.0	phase 2	34.900000000000226	11.0	0.4594843387381776	1.8959331166671793	1.351825765236596	0.39815053717122906	1.7785834444623678	0.11998255271572876	0.000125	0.013	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.013	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.03754648267956532	8.808448907053412	1.4569863657573985	0.29314525811358183	1.7726217180235657	0.027834591817579947	0.00015	0.013	dead (regular)
0.0	phase 2	31.70000000000018	11.0	0.4508191939266595	2.0186848076461734	1.3558807870896588	0.395007554214733	1.77885313630517	0.1151191243806235	0.00015	0.013	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.013	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.036760504613472716	8.816371718240624	1.4569494507169727	0.29317865335802235	1.7726164919303546	0.027845776261174213	0.00015	0.014	dead (regular)
0.0	phase 2	45.300000000000374	12.0	0.4598242764921665	1.8904933008083866	1.351641848687247	0.39829448596280154	1.7785736367343683	0.12021181899425318	0.00015	0.014	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.014	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.0359866281442426	8.82417358124556	1.456913164446361	0.29321147980774515	1.7726113548533462	0.027856770033688527	0.00015	0.015	dead (regular)
0.0	phase 2	40.90000000000031	12.0	0.45966679253320647	1.892086672933789	1.351697158212924	0.3982506821836758	1.7785762987986853	0.12014345040117	0.00015	0.015	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.015	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.04197651032498838	8.763512465034259	1.4571970013946391	0.29295470621881115	1.7726515378852121	0.027770774321186624	0.000175	0.015	dead (regular)
0.0	phase 2	34.40000000000022	11.0	0.45463807036175474	1.9633010989110253	1.3540807768809278	0.39639277872757195	1.7787194675582103	0.1172367171667189	0.000175	0.015	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000175	0.015	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.03527459758116659	8.831349765404362	1.4568798380944392	0.2932416282236332	1.7726066368036597	0.02786686951037956	0.00015	0.016	dead (regular)
0.0	phase 2	37.700000000000266	12.0	0.4554605464110374	1.951013352486414	1.3536760540148653	0.396706024258343	1.7786922504267175	0.11772232714617868	0.00015	0.016	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.016	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.0411003034589583	8.772346459961717	1.4571554220832001	0.29299232099909955	1.772645651467148	0.027783371962935056	0.000175	0.016	dead (regular)
0.0	phase 2	46.700000000000394	12.0	0.45957273541575994	1.892787595113626	1.3517220711804316	0.3982307488259108	1.7785773949268129	0.12011294944374995	0.000175	0.016	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000175	0.016	dead (regular)
0.0	phase 1	26.400000000000105	18.0	0.03454226519688146	8.838732759699335	1.4568456049311367	0.29327259683539886	1.7726017903710738	0.027877244851473214	0.00015	0.017	dead (regular)
0.0	phase 2	49.30000000000043	13.0	0.4587268348119411	1.9041220517060424	1.3521076537459482	0.3979280971455996	1.7785978036712933	0.1196353129959808	0.00015	0.017	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.017	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.04024356151391695	8.780985077803665	1.4571148438710915	0.29302903016393106	1.772639906776512	0.027795666069278694	0.000175	0.017	dead (regular)
0.0	phase 2	43.00000000000034	12.0	0.45747774878498326	1.9218133578086938	1.3527037403140136	0.3974621657372385	1.7786316622796978	0.11890233183088665	0.000175	0.017	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000175	0.017	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.039405837683003264	8.789432693209715	1.4570752397126034	0.29306485813498445	1.7726342999829923	0.027807665167494354	0.000175	0.018	dead (regular)
0.0	phase 2	40.1000000000003	12.0	0.4522453823483868	1.9953413426249482	1.3551318257991962	0.3955805543595878	1.7787940190472753	0.11599396425026486	0.000175	0.018	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000175	0.018	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.03858669563824336	8.797693700220925	1.4570365839675374	0.29309982812218544	1.7726288274571593	0.027819376919479243	0.000175	0.019	dead (regular)
0.0	phase 2	50.70000000000045	13.0	0.45245188560563093	1.9917868742545872	1.3550173759555653	0.39566824314534266	1.7787852600420468	0.11612877592330975	0.000175	0.019	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000175	0.019	dead (regular)
0.0	phase 1	25.000000000000085	17.0	0.03475797220954341	8.83650567672118	1.4568559253522568	0.29326326059286917	1.7726032514462495	0.027874116952143837	0.0002	0.019	dead (regular)
0.0	phase 2	45.50000000000038	13.0	0.45153214231791766	2.0048390862301444	1.355440702912639	0.3953427541232859	1.7788172822265942	0.11563308880557366	0.0002	0.019	dead (regular)
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0002	0.019	dead (regular)
0.0	phase 1	26.500000000000107	18.0	0.03778570928095874	8.80577236098273	1.4569988516205141	0.29313396275573456	1.7726234856575458	0.027830808904280226	0.000175	0.02	alive
0.0	phase 2	73.5000000000001	14.0	0.34740640262164074	2.0028448805732886	1.3553772569095575	0.3953910940272567	1.7788121877278897	0.11570758247393315	0.000175	0.02	alive
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000175	0.02	alive
0.0	phase 1	25.000000000000085	17.0	0.03408482852472489	8.843291668004584	1.4568244949186686	0.2932916937495446	1.7725988017996754	0.02788364284560365	0.0002	0.02	alive
0.0	phase 2	75.00000000000001	15.0	0.39692968338717605	1.112280062094178	1.3355147549295376	0.4175581796398353	1.7861422274316803	0.16538024964012388	0.0002	0.02	alive
