# OVEREXPRESSION SIMULATIONS
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
# non-metabolic damage formation f0 = 0.0001
# damage repair r0 = 0.0005
enzyme(s)	standard name	pathway	overexpression span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
wildtype	wildtype			23	0.0	0.0	0.0	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	6.199999999999994	1.0	0.270438090109829	dead (regular)
QCR6	YFR033C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9522364018239765	-3.64112106540504	28.300000000000132	17.0	0.03266826019328014	3.700000000000002	2.0	0.1577063649711428	0.2	0.0	0.16465416545282552	dead (overexpression)
QCR7	YDR529C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9514510660380111	-3.582221673794633	28.300000000000132	17.0	0.032672555657717484	3.700000000000002	2.0	0.15939728482760135	0.2	0.0	0.16629194511953233	dead (overexpression)
COB	Q0105	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9562718714630241	-3.977143529735153	28.10000000000013	17.0	0.03229918273461895	3.800000000000002	2.0	0.16056253894339365	0.2	0.0	0.1674415815486002	dead (overexpression)
ADH1	YOL086C	Anaerobic excretion	complete	23	1.0	1.499999981346287	0.0	23.800000000000068	16.0	0.020743408615006557	10.599999999999978	6.0	0.20851888755094317	6.199999999999994	1.0	0.2704381010122019	dead (regular)
TDH2	YJR009C	Glycolysis	complete	23	1.0	1.5185489055593375	0.0	23.400000000000063	16.0	0.020340195213901444	9.699999999999982	6.0	0.19604387291345218	4.699999999999999	1.0	0.25442001443769297	dead (regular)
TDH3	YGR192C	Glycolysis	complete	23	1.0	1.4101610363373875	0.0	22.50000000000005	16.0	0.01955249569031766	16.89999999999997	7.0	0.2794706034740538	0.0	0.0	NaN	dead (regular)
TDH1	YJL052W	Glycolysis	complete	23	1.0	1.4694193280761294	0.0	23.400000000000063	16.0	0.02034018475474639	9.699999999999982	6.0	0.19604346290068247	4.6	1.0	0.25442876836961775	dead (regular)
COX1	Q0045	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9572067060687406	-4.064025633493516	28.300000000000132	17.0	0.032650943477410904	3.700000000000002	2.0	0.1574204858031872	0.30000000000000004	0.0	0.166931704546596	dead (overexpression)
COX2	Q0250	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9551811151701682	-3.8803518681594467	28.400000000000134	17.0	0.03271352533714752	3.700000000000002	2.0	0.15782851592001734	0.2	0.0	0.16476705618885384	dead (overexpression)
COX3	Q0275	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9551732907890742	-3.879674563214923	28.400000000000134	17.0	0.03271349726379011	3.700000000000002	2.0	0.15779907540984073	0.2	0.0	0.16473888748354587	dead (overexpression)
COX5B	YIL111W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9432107163294168	-3.062427138314961	28.300000000000132	17.0	0.03266838724700879	3.700000000000002	2.0	0.1592397883020113	0.2	0.0	0.16610962043456987	dead (overexpression)
COX6	YHR051W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9432351086498644	-3.0637430873519227	28.300000000000132	17.0	0.03266838500189464	3.700000000000002	2.0	0.1593210314261776	0.2	0.0	0.16618823725341017	dead (overexpression)
CDC19	YAL038W	Glycolysis	complete	17	0.7391304347826086	1.9516496786320805	-0.2741235257835322	36.40000000000025	15.0	0.029597156283285974	4.4	2.0	0.07189508812212558	0.0	0.0	NaN	dead (overexpression)
PGK1	YCR012W	Glycolysis	complete	23	1.0	1.4999999846315886	0.0	23.800000000000068	16.0	0.020743408484935187	10.599999999999978	6.0	0.20851888657686987	6.199999999999994	1.0	0.27043809975060834	dead (regular)
ATP2	YJR121W	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2187712807008333	-0.5962152901918756	29.000000000000142	18.0	0.03553384603902829	3.700000000000002	2.0	0.12844174254270738	0.0	0.0	NaN	dead (overexpression)
ATP6	Q0085	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.22631827158535	-0.576333416188651	29.200000000000145	18.0	0.035808172605238525	3.700000000000002	2.0	0.12976040293945462	0.0	0.0	NaN	dead (overexpression)
ATP8	Q0080	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.237995335070193	-0.5480560472759937	29.400000000000148	18.0	0.03601528919082863	3.800000000000002	2.0	0.1359099197251263	0.0	0.0	NaN	dead (overexpression)
CIT1	YNR001C	TCA	complete	25	1.0869565217391304	1.0660135691517778	1.3172522385390293	27.40000000000012	18.0	0.033914303842303845	13.999999999999966	7.0	0.21292893930841286	0.0	0.0	NaN	dead (overexpression)
ENO1	YGR254W	Glycolysis	complete	23	1.0	1.4999999866953369	0.0	23.800000000000068	16.0	0.020743408577830212	10.599999999999978	6.0	0.20851888481691425	6.199999999999994	1.0	0.27043809747116143	dead (regular)
ENO2	YHR174W	Glycolysis	complete	23	1.0	1.5000000067986845	0.0	23.800000000000068	16.0	0.020743408365618592	10.599999999999978	6.0	0.20851887552878	6.199999999999994	1.0	0.2704380854414208	dead (regular)
TPI1	YDR050C	Glycolysis	complete	23	1.0	1.4999998270185202	0.0	23.800000000000068	16.0	0.020743408516254395	10.599999999999978	6.0	0.20851888689220607	6.199999999999994	1.0	0.2704381001590229	dead (regular)
GPM1	YKL152C	Glycolysis	complete	23	1.0	1.4999999940586584	0.0	23.800000000000068	16.0	0.020743408618794736	10.599999999999978	6.0	0.20851887997855584	6.199999999999994	1.0	0.2704380912046507	dead (regular)
COX4	YGL187C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9432324676158779	-3.0636005507772293	28.300000000000132	17.0	0.03266838801213667	3.700000000000002	2.0	0.15931693116524642	0.2	0.0	0.16618423205470617	dead (overexpression)
COX8	YLR395C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9432104258875443	-3.062411475984579	28.300000000000132	17.0	0.0326683778903245	3.700000000000002	2.0	0.15923902220975375	0.2	0.0	0.16610906734141018	dead (overexpression)
GAL1	YBR020W	Galactose metabolism	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
GAL10	YBR019C	Galactose metabolism	complete	23	1.0	1.5000000286300526	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.2085188772034431	6.199999999999994	1.0	0.27043808761039895	dead (regular)
HXK1	YFR053C	Glycolysis	complete	0	0.0	0.0	-1.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	dead (overexpression)
HXK2	YGL253W	Glycolysis	complete	23	1.0	1.5000000164230018	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851884512016677	6.199999999999994	1.0	0.27043804605700683	dead (regular)
ATP4	YPL078C	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2304280778708132	-0.566054205780523	29.200000000000145	18.0	0.035814793556708496	3.800000000000002	2.0	0.13485078950219473	0.0	0.0	NaN	dead (overexpression)
PDC1	YLR044C	Anaerobic excretion	complete	26	1.1304347826086956	1.6701555248282147	0.19463360037527233	27.100000000000115	19.0	0.04144169613817517	12.099999999999973	6.0	0.2219485617835019	8.799999999999985	1.0	0.28753854341053037	dead (regular)
CYT1	YOR065W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9510637148090665	-3.5538668862932417	28.10000000000013	17.0	0.032448016932268654	3.800000000000002	2.0	0.15975104798975148	0.2	0.0	0.16664812315242544	dead (overexpression)
ADK1	YDR226W	Salvage pathways	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
ATP1	YBL099W	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2191578349722008	-0.5951636756460967	28.90000000000014	18.0	0.03550374031646686	3.800000000000002	2.0	0.13329556731688713	0.0	0.0	NaN	dead (overexpression)
COX9	YDL067C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9584561616997247	-4.186253620121282	28.500000000000135	17.0	0.03291552522435789	3.700000000000002	2.0	0.15944890403915046	0.2	0.0	0.16420254412834534	dead (overexpression)
COR1	YBL045C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9583920333087149	-4.1798015454258595	28.000000000000128	17.0	0.032240466785442116	3.800000000000002	2.0	0.16021034757213434	0.30000000000000004	0.0	0.1704732748760956	dead (overexpression)
QCR2	YPR191W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9564124979791891	-3.989975002357928	28.10000000000013	17.0	0.032365308894947986	3.900000000000002	2.0	0.16094995745027052	0.2	0.0	0.16781511148767805	dead (overexpression)
RIP1	YEL024W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9575364974344481	-4.095588752006202	28.300000000000132	17.0	0.032500195762598924	3.800000000000002	2.0	0.1585313460137419	0.2	0.0	0.16545818640023296	dead (overexpression)
FUM1	YPL262W	TCA	complete	23	1.0	1.499963452679664	0.0	23.800000000000068	16.0	0.020743438217852798	10.599999999999978	6.0	0.2085197092147379	6.199999999999994	1.0	0.27043916520895006	dead (regular)
GAL7	YBR018C	Galactose metabolism	complete	23	1.0	1.5000000391348305	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
QCR8	YJL166W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9551541530966742	-3.878018935692419	28.400000000000134	17.0	0.03271343100085286	3.700000000000002	2.0	0.15799704659450392	0.2	0.0	0.16493176141351457	dead (overexpression)
FBP1	YLR377C	Glycolysis	complete	23	1.0	1.527486945504416	0.0	23.800000000000068	16.0	0.020743408476498273	10.699999999999978	6.0	0.20851234552882397	6.199999999999994	1.0	0.27042962796189296	dead (regular)
ATP5	YDR298C	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2299312180714201	-0.5672773958348736	29.200000000000145	18.0	0.035842278721465885	3.800000000000002	2.0	0.12993324698895525	0.0	0.0	NaN	dead (overexpression)
LPD1	YFL018C	Other	complete	25	1.0869565217391304	1.5640677914881354	0.1541597003965072	29.700000000000152	18.0	0.036322438514424335	16.89999999999997	7.0	0.2277624062558128	0.0	0.0	NaN	dead (overexpression)
ERR1	YOR393W	Glycolysis	complete	23	1.0	1.500000002287549	0.0	23.800000000000068	16.0	0.020743408481046072	10.599999999999978	6.0	0.2085188776854037	6.199999999999994	1.0	0.27043808823462123	dead (regular)
ERR2	YPL281C	Glycolysis	complete	23	1.0	1.5000000332013685	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.2085188764490893	6.199999999999994	1.0	0.27043808663338026	dead (regular)
COX7	YMR256C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.946981772111122	-3.28025002726928	28.400000000000134	17.0	0.03270428802092027	3.700000000000002	2.0	0.15799986040826083	0.2	0.0	0.164905356669469	dead (overexpression)
PCK1	YKR097W	Other	complete	23	1.0	1.4862372195654148	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851876001743364	6.299999999999994	1.0	0.27042768986547777	dead (regular)
