# DELETION SIMULATIONS
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
# non-metabolic damage formation f0 = 0.0001
# damage repair r0 = 0.0005
enzyme(s)	standard name	pathway	deletion span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
wildtype	wildtype			23	0.0	0.0	0.0	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.2085188791332471	6.199999999999994	1.0	0.270438090109829	dead (regular)
QCR6	YFR033C	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
QCR7	YDR529C	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
COB	Q0105	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
ADH1	YOL086C	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.400000000000063	16.0	0.020349778111859573	9.799999999999981	6.0	0.19582784419823135	4.5	1.0	0.2541585058619665	dead (regular)
TDH2	YJR009C	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743387351876554	10.599999999999978	6.0	0.2085145231086749	6.199999999999994	1.0	0.2704324483044863	dead (regular)
TDH3	YGR192C	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743437675736394	10.599999999999978	6.0	0.20851865139368525	6.199999999999994	1.0	0.27043779514770117	dead (regular)
TDH1	YJL052W	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340796464978	10.599999999999978	6.0	0.2085190206153218	6.199999999999994	1.0	0.2704382733535897	dead (regular)
COX1	Q0045	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
COX2	Q0250	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
COX3	Q0275	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
COX5B	YIL111W	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
COX6	YHR051W	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
CDC19	YAL038W	Glycolysis	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.020757887368292635	10.29999999999998	6.0	0.2011198971374943	5.1999999999999975	1.0	0.2609518706180242	dead (regular)
PGK1	YCR012W	Glycolysis	complete	0	0.0	0.0	-1.0	0.0	0.0	NaN	0.0	0.0	NaN	99.9999999999986	0.0	0.004486376427383074	alive
ATP2	YJR121W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.21670213872563077	8.399999999999986	1.0	0.28079757618217815	dead (regular)
ATP6	Q0085	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.21670213873466368	8.399999999999986	1.0	0.2807975761938618	dead (regular)
ATP8	Q0080	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.21670213873466368	8.399999999999986	1.0	0.2807975761938618	dead (regular)
CIT1	YNR001C	TCA	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743923540668268	10.599999999999978	6.0	0.20853138668667176	6.199999999999994	1.0	0.27045428955511824	dead (regular)
ENO1	YGR254W	Glycolysis	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.019964205938032522	9.599999999999982	6.0	0.19248514948262763	4.200000000000001	1.0	0.24985175064728415	dead (regular)
ENO2	YHR174W	Glycolysis	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.019964205997605258	9.599999999999982	6.0	0.19248515585614823	4.200000000000001	1.0	0.24985175891200728	dead (regular)
TPI1	YDR050C	Glycolysis	complete	22	0.9565217391304348	0.0	-0.043478260869565216	0.0	0.0	NaN	0.0	0.0	NaN	99.9999999999986	22.0	0.21613633466442692	alive
GPM1	YKL152C	Glycolysis	complete	0	0.0	0.0	-1.0	0.0	0.0	NaN	0.0	0.0	NaN	99.9999999999986	0.0	0.004486376427383074	alive
COX4	YGL187C	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
COX8	YLR395C	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
GAL1	YBR020W	Galactose metabolism	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.20851888696227358	6.199999999999994	1.0	0.27043810024977266	dead (regular)
GAL10	YBR019C	Galactose metabolism	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340867030759	10.19999999999998	6.0	0.20011624498580044	4.999999999999998	1.0	0.25967038658448954	dead (regular)
HXK1	YFR053C	Glycolysis	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.02075817680037027	10.29999999999998	6.0	0.20112723341205935	5.1999999999999975	1.0	0.2609613780653999	dead (regular)
HXK2	YGL253W	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340867030759	10.599999999999978	6.0	0.20851880766087735	6.199999999999994	1.0	0.27043799754074677	dead (regular)
ATP4	YPL078C	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.21670213873466368	8.399999999999986	1.0	0.2807975761938618	dead (regular)
PDC1	YLR044C	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.020750135203664404	10.19999999999998	6.0	0.20102335187908832	5.299999999999997	1.0	0.26081708344433946	dead (regular)
CYT1	YOR065W	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
ADK1	YDR226W	Salvage pathways	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408513869157	10.599999999999978	6.0	0.2085188863185588	6.199999999999994	1.0	0.27043809941605035	dead (regular)
ATP1	YBL099W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.21670213872563077	8.399999999999986	1.0	0.28079757618217815	dead (regular)
COX9	YDL067C	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
COR1	YBL045C	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
QCR2	YPR191W	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
RIP1	YEL024W	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
FUM1	YPL262W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
GAL7	YBR018C	Galactose metabolism	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340867030759	10.19999999999998	6.0	0.20011624426087368	4.999999999999998	1.0	0.25967038564490796	dead (regular)
