# INTERESTING ENZYMES
# from deletion experiment 
enzyme(s)	standard name	pathway	deletion span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status	why
TPI1	YDR050C	Glycolysis	phase 1	24	1.0434782608695652	0.09154204501667164	0.0478594090470187	27.800000000000125	23.0	0.18413582253945265	0.0	0.0	NaN	72.20000000000017	1.0	0.23515301838893074	alive	increased lifespan
PGI1	YBR196C	Glycolysis	phase 1	24	1.0434782608695652	0.2504413820219202	0.05800515106723341	34.70000000000022	22.0	0.18146713512869425	0.0	0.0	NaN	60.100000000000584	2.0	0.3036157194432415	dead (regular)	increased lifespan
COX5B	YIL111W	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
COX6	YHR051W	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
COX4	YGL187C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
COX8	YLR395C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
COX7	YMR256C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
COX13	YGL191W	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
COX12	YLR038C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan
ADH5,ADH1	YBR145W,YOL086C	Anaerobic excretion	phase 2	26	1.1304347826086956	0.7509879717560036	0.5238091650773115	23.800000000000068	16.0	0.02074340867030759	33.1000000000002	10.0	0.2907029804320296	0.0	0.0	NaN	dead (regular)	increased lifespan
