# BOOLEAN MODEL ITERATIONS WITH SWITCH
# model defined in ../../ModelFiles/Boolean/Modified/species.txt and ../../ModelFiles/Boolean/Modified/rules.txt
# glucose true, nitrogen true, trx false
# h2o2 switch: Bool[0, 1, 0]
# switch at iteration [6]
# name	pathway	initActivity	activity(11 iterations)
exGlc		nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
ATP		nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
cAMP		nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
F16BP		nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
NH3		nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
H2O2		nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing	nothing
Gpr1	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Gpa2	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Krh1_2	PKA	false	false	false	false	false	false	false	false	false	false	false	false
Cdc25	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Ras1_2	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Ira1_2	PKA	false	false	false	false	false	false	false	false	false	false	false	false
AC	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Pde1_2	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Tpk1	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Tpk2	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Tpk3	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Bcy1	PKA	true	true	true	true	true	true	true	true	true	true	true	true
PKA	PKA	true	true	true	true	true	true	true	true	true	true	true	true
Rim15	PKA	false	false	false	false	false	false	false	false	false	false	false	false
Gis1	PKA	false	false	false	false	false	false	false	false	false	false	false	false
Msn2_4	PKA	false	false	false	false	false	false	false	false	false	false	false	false
Tos3	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
Sak1	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
Elm1	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
Glc7	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Reg1	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Sip1	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
Sip2	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
Gal83	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
Snf1	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Snf4	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
SNF	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Cat8	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Sip4	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Adr1	SNF1	false	false	false	false	false	false	false	false	false	false	false	false
Mig1	SNF1	true	true	true	true	true	true	true	true	true	true	true	true
EGO	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Tor1	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Tor2	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Kog1	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Tco89	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Lst8	TOR	true	true	true	true	true	true	true	true	true	true	true	true
TOR	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Sch9	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Sfp1	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Tap42	TOR	true	true	true	true	true	true	true	true	true	true	true	true
PP2A	TOR	false	false	false	false	false	false	false	false	false	false	false	false
Mks1	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Rtg2	TOR	true	true	true	true	true	true	true	true	true	true	true	true
Rtg1_3	TOR	false	false	false	false	false	false	false	false	false	false	false	false
Gln3	TOR	false	false	false	false	false	false	false	false	false	false	false	false
Gat1	TOR	false	false	false	false	false	false	false	false	false	false	false	false
Gpx3	YAP1	false	false	true	true	true	true	true	true	false	false	false	false
Ybp1	YAP1	false	true	true	true	true	true	true	false	false	false	false	false
Pse1	YAP1	false	false	false	true	true	true	true	true	true	false	false	false
Crm1	YAP1	true	true	false	false	false	false	false	false	true	true	true	true
Trx1_2	YAP1	false	false	false	false	false	false	false	false	false	false	false	false
Yap1	YAP1	false	false	false	false	true	true	true	true	true	false	false	false
Sln1	SLN1	false	false	true	true	true	true	true	true	false	false	false	false
Ypd1	SLN1	false	false	false	true	true	true	true	true	true	false	false	false
Skn7	SLN1	false	false	false	false	true	true	true	true	true	true	false	false
Pfk2		true	true	true	true	true	true	true	true	true	true	true	true
Nth1		true	true	true	true	true	true	true	true	true	true	true	true
Cdc19		true	true	true	true	true	true	true	true	true	true	true	true
Fbp1		true	true	true	true	true	true	true	true	true	true	true	true
Acc1		true	true	true	true	true	true	true	true	true	true	true	true
Hxk2		false	false	false	false	false	false	false	false	false	false	false	false
Pyk2		true	true	true	true	true	true	true	true	true	true	true	true
PDS		false	false	false	false	false	false	false	false	false	false	false	false
STRE		false	false	false	false	false	false	false	false	false	false	false	false
RTG		false	false	false	false	false	false	false	false	false	false	false	false
NCR		false	false	false	false	false	false	false	false	false	false	false	false
SUC2		false	false	false	false	false	false	false	false	false	false	false	false
ADH2		false	false	false	false	false	false	false	false	false	false	false	false
CSRE		false	false	false	false	false	false	false	false	false	false	false	false
PCK1		false	false	false	false	false	false	false	false	false	false	false	false
FBP1		false	false	false	false	false	false	false	false	false	false	false	false
Ribosomal		true	true	true	true	true	true	true	true	true	true	true	true
TRX		false	false	false	false	false	true	true	true	true	true	false	false
OLA1		false	false	false	false	true	true	true	true	true	true	false	false
DNM1		false	false	false	false	true	true	true	true	true	true	false	false
GSH1		false	false	false	false	false	true	true	true	true	true	false	false
GLR1		false	false	false	false	false	true	true	true	true	true	false	false
TRR1		false	false	false	false	false	true	true	true	true	true	false	false
CTT1		false	false	false	false	false	false	false	false	false	false	false	false
