# DAMAGE IN REGULATED ecFBA MODEL
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective minGlc
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
growth rate	superoxide production	peroxide production (m)	peroxide removal (m)	damage (m)	peroxide production (c)	peroxide transport	peroxide removal (c)	damage (c)
0.0	0.0009155654723683125	0.00045778273618415623	0.00025491617106687735	0.0	5.2344404098390125e-5	0.00020286656511727888	0.000255210969215669	0.0
0.004	0.0011820882273303659	0.0005093318314692784	0.0003459072670774693	0.00016342456439180913	0.0	0.0	0.0	0.0
0.008	0.0025018367890099163	0.0012509183945049582	0.00043735026789661183	0.0	0.0005	0.0008135681266083464	0.0013135681266083464	0.0
0.012	0.0032376336678559365	0.0016188168339279683	0.0005292451737616463	0.0	0.0005	0.001089571660166322	0.001589571660166322	0.0
0.016	0.003977048922688126	0.001988524461344063	0.0006215919846703125	0.0	0.0005	0.0013669324766737503	0.0018669324766737504	0.0
0.02	0.0047200825535072466	0.0023600412767536233	0.0007143907006226926	0.0	0.0005	0.0016456505761309305	0.0021456505761309305	0.0
0.024	0.005466734560327343	0.0027333672801636713	0.0008076413216205527	0.0	0.0005	0.0019257259585431187	0.0024257259585431187	0.0
0.028	0.00621700494313186	0.00310850247156593	0.0009013438476616363	0.0	0.0005	0.0022071586239042935	0.0027071586239042936	0.0
0.032	0.006970893701937442	0.003485446850968721	0.0009954982787485516	0.0	0.0005	0.0024899485722201693	0.0029899485722201693	0.0
0.036000000000000004	0.007728400836727112	0.003864200418363556	0.001090104614878665	0.0	0.0005	0.002774095803484891	0.003274095803484891	0.0
0.04	0.008489526347512414	0.004244763173756207	0.0011851628560535777	0.0	0.0005	0.0030596003177026294	0.0035596003177026294	0.0
0.044	0.009254270234294681	0.0046271351171473405	0.0012806730022734646	0.0	0.0005	0.0033464621148738757	0.003846462114873876	0.0
0.048	0.010022632497065196	0.005011316248532598	0.0013766350535372432	0.0	0.0005	0.003634681194995355	0.004134681194995355	0.0
0.052000000000000005	0.010794613135827634	0.005397306567913817	0.0014730490098453584	0.0	0.0005	0.003924257558068458	0.004424257558068459	0.0
0.056	0.011570212150582727	0.005785106075291363	0.001569914871197892	0.0	0.0005	0.004215191204093471	0.004715191204093471	0.0
0.06	0.012349429541330061	0.0061747147706650305	0.001667232637594816	0.0	0.0005	0.004507482133070215	0.005007482133070215	0.0
0.064	0.013132265308070086	0.006566132654035043	0.0017650023090361345	0.0	0.0005	0.004801130344998909	0.005301130344998909	0.0
0.068	0.01391871945080152	0.00695935972540076	0.0018632238855218436	0.0	0.0005	0.005096135839878916	0.005596135839878916	0.0
0.07200000000000001	0.014708791969525674	0.007354395984762837	0.0019618973670519394	0.0	0.0005	0.005392498617710897	0.005892498617710897	0.0
0.076	0.01550248286424267	0.007751241432121335	0.0020610227536265067	0.0	0.0005	0.005690218678494828	0.006190218678494829	0.0
0.08	0.016299792134947644	0.008149896067473822	0.0021606000452448404	0.0	0.0005	0.005989296022228981	0.006489296022228981	0.0
0.084	0.017100719781648295	0.008550359890824148	0.0022606292419081087	0.0	0.0005	0.006289730648916039	0.00678973064891604	0.0
0.088	0.017905265804341913	0.008952632902170956	0.002361110343615773	0.0	0.0005	0.006591522558555184	0.007091522558555184	0.0
0.092	0.01871343020302809	0.009356715101514045	0.0024620433503678195	0.0	0.0005	0.006894671751146227	0.007394671751146226	0.0
0.096	0.01952521297770956	0.00976260648885478	0.0025634282621647348	0.0	0.0005	0.007199178226690044	0.0076991782266900444	0.0
0.1	0.02034061412837617	0.010170307064188085	0.0026652650790050985	0.0	0.0005	0.007505041985182988	0.008005041985182988	0.0
0.10400000000000001	0.021159633655043208	0.010579816827521604	0.0027675538008907915	0.0	0.0005	0.007812263026630812	0.008312263026630812	0.0
0.108	0.021982271557693916	0.010991135778846958	0.0028702944278199394	0.0	0.0005	0.008120841351027018	0.008620841351027019	0.0
0.112	0.022808527836341068	0.011404263918170534	0.00297348695979395	0.0	0.0005	0.008430776958376584	0.008930776958376584	0.0
0.116	0.023638402490985137	0.011819201245492569	0.0030771313968128156	0.0	0.0005	0.008742069848679753	0.009242069848679754	0.0
0.12	0.024471895521616622	0.012235947760808311	0.0031812277388755966	0.0	0.0005	0.009054720021932715	0.009554720021932715	0.0
0.124	0.025309006928240826	0.012654503464120413	0.0032857759859827827	0.0	0.0005	0.00936872747813763	0.009868727478137631	0.0
0.128	0.026149736710854184	0.013074868355427092	0.0033907761381338822	0.0	0.0005	0.00968409221729321	0.01018409221729321	0.0
0.132	0.026994084869466268	0.013497042434733134	0.00349622819533032	0.0	0.0005	0.010000814239402814	0.010500814239402814	0.0
0.136	0.027842051404063636	0.013921025702031818	0.0036021321575702005	0.0	0.0005	0.010318893544461617	0.010818893544461618	0.0
0.14	0.028693636314660854	0.014346818157330427	0.003708488024855405	0.0	0.0005	0.010638330132475022	0.011138330132475022	0.0
0.14400000000000002	0.029548839601246848	0.014774419800623424	0.0038152957971845387	0.0	0.0005	0.010959124003438885	0.011459124003438886	0.0
0.148	0.030407661263821092	0.015203830631910546	0.003922555474557604	0.0	0.0005	0.011281275157352944	0.011781275157352944	0.0
0.152	0.03127010130239477	0.015635050651197385	0.004030267056975985	0.0	0.0005	0.0116047835942214	0.0121047835942214	0.0
0.156	0.032136159716953154	0.016068079858476577	0.004138430544437753	0.0	0.0005	0.011929649314038825	0.012429649314038825	0.0
0.16	0.03300583650750929	0.016502918253754644	0.0042470459369445225	0.0	0.0005	0.01225587231681012	0.012755872316810121	0.0
0.164	0.0338791316740608	0.0169395658370304	0.004356113234496077	0.0	0.0005	0.012583452602534321	0.013083452602534322	0.0
0.168	0.034756045216600424	0.017378022608300212	0.004465632437091654	0.0	0.0005	0.012912390171208557	0.013412390171208557	0.0
0.17200000000000001	0.035636577135132144	0.017818288567566072	0.004575603544731435	0.0	0.0005	0.013242685022834638	0.013742685022834638	0.0
0.176	0.03652072742965259	0.018260363714826294	0.004686026557415225	0.0	0.0005	0.013574337157411067	0.014074337157411066	0.0
0.18	0.03740849610017334	0.01870424805008667	0.004796901475144337	0.0	0.0005	0.013907346574942334	0.014407346574942335	0.0
0.184	0.03829988314668157	0.019149941573340785	0.004908228297917385	0.0	0.0005	0.014241713275423399	0.0147417132754234	0.0
0.188	0.03919488856917944	0.01959744428458972	0.0050200070257343556	0.0	0.0005	0.014577437258855361	0.015077437258855362	0.0
0.192	0.040093512367676075	0.020046756183838037	0.005132237658596647	0.0	0.0005	0.01491451852524139	0.01541451852524139	0.0
0.196	0.040995754542162505	0.020497877271081252	0.005244920196502869	0.0	0.0005	0.015252957074578383	0.015752957074578383	0.0
0.2	0.04190161509263701	0.020950807546318506	0.005358054639453005	0.0	0.0005	0.0155927529068655	0.0160927529068655	0.0
0.20400000000000001	0.04281109401911058	0.02140554700955529	0.005471640987448477	0.0	0.0005	0.015933906022106814	0.016433906022106815	0.0
0.20800000000000002	0.043724191321569766	0.021862095660784883	0.005585679240487391	0.0	0.0005	0.016276416420297493	0.016776416420297494	0.0
0.212	0.04464090700002468	0.02232045350001234	0.0057001693985711645	0.0	0.0005	0.016620284101441177	0.017120284101441178	0.0
0.216	0.04556124105447608	0.02278062052723804	0.00581511146169981	0.0	0.0005	0.016965509065538228	0.017465509065538228	0.0
0.22	0.04648519348491568	0.02324259674245784	0.005930505429872367	0.0	0.0005	0.017312091312585473	0.017812091312585474	0.0
0.224	0.04741276429134721	0.023706382145673607	0.006046351303089272	0.0	0.0005	0.017660030842584336	0.018160030842584336	0.0
0.228	0.04834395347376831	0.024171976736884156	0.006162649081350205	0.0	0.0005	0.01800932765553395	0.01850932765553395	0.0
0.232	0.049278761032188804	0.024639380516094402	0.006279398764656369	0.0	0.0005	0.018359981751438034	0.018859981751438035	0.0
0.23600000000000002	0.050217186966593955	0.025108593483296977	0.006396600353006061	0.0	0.0005	0.018711993130290917	0.019211993130290917	0.0
0.24	0.051159231276995676	0.025579615638497838	0.006514253846400566	0.0	0.0005	0.019065361792097273	0.019565361792097273	0.0
0.244	0.05162902128481882	0.02581451064240941	0.006581142820418925	0.0	0.0005	0.019233367821990484	0.019733367821990484	0.0
0.248	0.05118154776778006	0.02559077388389003	0.006525187245869119	0.0	0.0005	0.019065586638020913	0.019565586638020913	0.0
0.252	0.05073218301500191	0.025366091507500955	0.006469000513763237	0.0	0.0005	0.018897090993737715	0.019397090993737716	0.0
0.256	0.05028105507258636	0.02514052753629318	0.0064125826241007875	0.0	0.0005	0.01872794491219239	0.01922794491219239	0.0
0.26	0.049828035894434436	0.024914017947217218	0.0063559335768827215	0.0	0.0005	0.018558084370334495	0.019058084370334495	0.0
0.264	0.049367686092795265	0.024683843046397633	0.006298490334859892	0.0	0.0005	0.01838535271153774	0.01888535271153774	0.0
0.268	0.04879128855314545	0.024395644276572724	0.006227129536647797	0.0	0.0005	0.018168514739924927	0.018668514739924928	0.0
0.272	0.048178426913364505	0.024089213456682253	0.006150493059537737	0.0	0.0005	0.017938720397144517	0.018438720397144514	0.0
0.276	0.0475631263980864	0.0237815631990432	0.006073508101014092	0.0	0.0005	0.01770805509802911	0.01820805509802911	0.0
0.28	0.04694556157937532	0.02347278078968766	0.005996261631821674	0.0	0.0005	0.017476519157865987	0.017976519157865987	0.0
0.28400000000000003	0.04632538423963937	0.023162692119819684	0.005918710219237581	0.0	0.0005	0.017243981900582104	0.017743981900582104	0.0
0.28800000000000003	0.028499345903907347	0.011846675670484818	0.005860674756027732	0.0048059945629377095	0.0	0.0058377646402818254	0.0058377646402818254	0.0
0.292	0.028022401384722166	0.011672476716202253	0.005775922228852836	0.00467744795231766	0.0	0.005737114081333744	0.005737114081333744	0.0
0.296	0.02745330674932253	0.011481249183781383	0.005673814444394815	0.004490808381759767	0.0	0.005635692354236786	0.005635692354236786	0.0
0.3	0.02688753724550787	0.011291151439639695	0.005572307592550638	0.004305234366228478	0.0	0.005534867522115956	0.005534867522115956	0.0
0.304	0.02632509340079478	0.01110218342623173	0.00547140167331891	0.004120726548331318	0.0	0.0054346395849698475	0.0054346395849698475	0.0
0.308	0.025765974575526103	0.01091434532727215	0.005371096686701506	0.0039372839209818045	0.0	0.005335008542800322	0.005335008542800322	0.0
0.312	0.025210180926101923	0.010727636336201255	0.005271392632697009	0.003754908253699415	0.0	0.005235974395605997	0.005235974395605997	0.0
0.316	0.024657712499210577	0.010542056134211003	0.005172289511305897	0.0035736002307885702	0.0	0.005137537143386846	0.005137537143386846	0.0
0.32	0.024108569291738543	0.01035760685910006	0.005073787322528182	0.0033933555735384223	0.0	0.005039696786144294	0.005039696786144294	0.0
0.324	0.02356046808876965	0.010154141744282877	0.004959475145270846	0.0032521846002038952	0.0	0.004942453323876924	0.004942453323876924	0.0
0.328	0.023011310215663897	0.009988269134809581	0.004878585742812895	0.0030347719460447325	0.0	0.004845806756585211	0.004845806756585211	0.0
