FLO9	YAL063C	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
YBR089W	YBR089W	YBR089W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30
PHO3	YBR092C	PHO3	Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin
FES1	YBR101C	FES1	Hsp70 (Ssa1p) nucleotide exchange factor, cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum
RAD16	YBR114W	RAD16	Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad7p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex
TPS1	YBR126C	TPS1	Synthase subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway
OPY1	YBR129C	OPY1	Protein of unknown function, overproduction blocks cell cycle arrest in the presence of mating pheromone; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
ATG42	YBR139W	ATG42	Putative serine type carboxypeptidase with a role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner
RTC2	YBR147W	RTC2	Protein of unknown function; mutant produces large lipid droplets, is resistant to fluconazole, has decreased levels of rDNA transcription, growth defects on minimal media, and suppresses cdc13-1; detected in highly purified mitochondria; similar to a G-protein coupled receptor from S. pombe
ARA1	YBR149W	ARA1	NADP+ dependent arabinose dehydrogenase, involved in carbohydrate metabolism; purified as homodimer; naturally occurs with a N-terminus degradation product
ICS2	YBR157C	ICS2	Protein of unknown function; null mutation does not confer any obvious defects in growth, spore germination, viability, or carbohydrate utilization
SSE2	YBR169C	SSE2	Member of the heat shock protein 70 (HSP70) family; may be involved in protein folding; localized to the cytoplasm; highly homologous to the heat shock protein Sse1p
