YAL064W-B	YAL064W-B	YAL064W-B	Fungal-specific protein of unknown function
FLO9	YAL063C	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
VID24	YBR105C	VID24	Peripheral membrane protein located at Vid (vacuole import and degradation) vesicles; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase
AIM3	YBR108W	AIM3	Protein interacting with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss
ALG1	YBR110W	ALG1	Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability, mutation is functionally complemented by human ortholog
YSA1	YBR111C	YSA1	Nudix hydrolase family member with ADP-ribose pyrophosphatase activity; shown to metabolize O-acetyl-ADP-ribose to AMP and acetylated ribose 5'-phosphate
YBR116C	YBR116C	YBR116C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TKL2
TKL2	YBR117C	TKL2	Transketolase, similar to Tkl1p; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids
TPS1	YBR126C	TPS1	Synthase subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway
AGP2	YBR132C	AGP2	High affinity polyamine permease, preferentially uses spermidine over putrescine; expression is down-regulated by osmotic stress; plasma membrane carnitine transporter, also functions as a low-affinity amino acid permease
ATG42	YBR139W	ATG42	Putative serine type carboxypeptidase with a role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner
ARA1	YBR149W	ARA1	NADP+ dependent arabinose dehydrogenase, involved in carbohydrate metabolism; purified as homodimer; naturally occurs with a N-terminus degradation product
APD1	YBR151W	APD1	Protein of unknown function, required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus
SPP381	YBR152W	SPP381	mRNA splicing factor, component of U4/U6.U5 tri-snRNP; interacts genetically and physically with Prp38p
ICS2	YBR157C	ICS2	Protein of unknown function; null mutation does not confer any obvious defects in growth, spore germination, viability, or carbohydrate utilization
ARL1	YBR164C	ARL1	Soluble GTPase with a role in regulation of membrane traffic; regulates potassium influx; G protein of the Ras superfamily, similar to ADP-ribosylation factor
SSE2	YBR169C	SSE2	Member of the heat shock protein 70 (HSP70) family; may be involved in protein folding; localized to the cytoplasm; highly homologous to the heat shock protein Sse1p
NPL4	YBR170C	NPL4	Ubiquitin-binding protein involved in protein degradation; Cdc48p-Npl4p-Ufd1p complex participates in ER-associated degradation (ERAD) while Cdc48p-Npl4p-Vms1p complex participates in mitochondria-associated degradation (MAD)
DTR1	YBR180W	DTR1	Putative dityrosine transporter, required for spore wall synthesis; expressed during sporulation; member of the major facilitator superfamily (DHA1 family) of multidrug resistance transporters
YPC1	YBR183W	YPC1	Alkaline ceramidase that also has reverse (CoA-independent) ceramide synthase activity, catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance
AIM4	YBR194W	AIM4	Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress
DUR1,2	YBR208C	DUR1,2	Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation
NGR1	YBR212W	NGR1	RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; expressed in stationary phase
SDS24	YBR214W	SDS24	One of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; involved in cell separation during budding; may play an indirect role in fluid-phase endocytosis
PCS60	YBR222C	PCS60	Peroxisomal protein that binds AMP and mRNA, localizes to both the peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid, similar to E. coli long chain acyl-CoA synthetase
TDP1	YBR223C	TDP1	Tyrosyl-DNA Phosphodiesterase I, hydrolyzes 3' and 5'-phosphotyrosyl bonds, involved in the repair of DNA lesions created by topoisomerase I and topoisomerase II; mutations in human homolog result in the neurodegenerative disease SCANI
YBR225W	YBR225W	YBR225W	Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components
ROT2	YBR229C	ROT2	Glucosidase II catalytic subunit required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations
OM14	YBR230C	OM14	Integral mitochondrial outer membrane protein; abundance is decreased in cells grown in glucose relative to other carbon sources; appears to contain 3 alpha-helical transmembrane segments; ORF encodes a 97-basepair intron
THI2	YBR240C	THI2	Zinc finger protein of the Zn(II)2Cys6 type, probable transcriptional activator of thiamine biosynthetic genes
YBR241C	YBR241C	YBR241C	Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene
ENP1	YBR247C	ENP1	Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus
MTC4	YBR255W	MTC4	Protein of unknown function, required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1
YPT10	YBR264C	YPT10	Rab family GTP-binding protein that contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles
SDH8	YBR269C	SDH8	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
BIT2	YBR270C	BIT2	Subunit of TORC2, a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p, homologous PH domain-containing TORC2 substrates; similar to Bit61p
UBX7	YBR273C	UBX7	UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p
DPB3	YBR278W	DPB3	Third-largest subunit of DNA polymerase II (DNA polymerase epsilon), required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; mRNA abundance peaks at the G1/S boundary of the cell cycle
SAF1	YBR280C	SAF1	F-Box protein involved in proteasome-dependent degradation of Aah1p during entry of cells into quiescence; interacts with Skp1
SNF5	YBR289W	SNF5	Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf6p
PRD1	YCL057W	PRD1	Zinc metalloendopeptidase, found in the cytoplasm and intermembrane space of mitochondria; with Cym1p, involved in degradation of mitochondrial proteins and of presequence peptides cleaved from imported proteins
PBN1	YCL052C	PBN1	Essential component of glycosylphosphatidylinositol-mannosyltransferase I, required for the autocatalytic post-translational processing of the protease B precursor Prb1p, localizes to ER in lumenal orientation; homolog of mammalian PIG-X
MGR1	YCL044C	MGR1	Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr3p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA
GLK1	YCL040W	GLK1	Glucokinase, catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources
GID7	YCL039W	GID7	Protein of unknown function, involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; contains six WD40 repeats; computational analysis suggests that Gid7p and Moh1p have similar functions
SRO9	YCL037C	SRO9	Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif
